stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,5,2.0,1.0,3.0,2.0,40,,True,4753,3458,72.7540500736377,100000.0,325477855660.5338,325477755660.5338,325477755.6605338,-3.6834322628021714,68478383.26541837,19,6,-3001167276.0145473,33781544927.747482,4.123516492462439,68478383.26541837,457950057.0736158
chandelier,5,2.0,1.0,3.0,2.0,40,,True,4753,3458,72.7540500736377,100000.0,325477855660.5338,325477755660.5338,325477755.6605338,-3.6834322628021714,68478383.26541837,19,6,-3001167276.0145473,33781544927.747482,4.123516492462439,68478383.26541837,457950057.0736158
chandelier,5,2.0,1.0,1.0,2.0,40,,True,4753,3458,72.7540500736377,100000.0,325477855660.5338,325477755660.5338,325477755.6605338,-3.6834322628021714,68478383.26541837,19,6,-3001167276.0145473,33781544927.747482,4.123516492462439,68478383.26541837,457950057.0736158
chandelier,5,2.0,1.0,1.0,2.0,40,,True,4753,3458,72.7540500736377,100000.0,325477855660.5338,325477755660.5338,325477755.6605338,-3.6834322628021714,68478383.26541837,19,6,-3001167276.0145473,33781544927.747482,4.123516492462439,68478383.26541837,457950057.0736158
chandelier,5,2.0,1.0,2.0,2.0,40,,True,4753,3458,72.7540500736377,100000.0,325477855660.5338,325477755660.5338,325477755.6605338,-3.6834322628021714,68478383.26541837,19,6,-3001167276.0145473,33781544927.747482,4.123516492462439,68478383.26541837,457950057.0736158
chandelier,5,2.0,1.0,2.0,2.0,40,,True,4753,3458,72.7540500736377,100000.0,325477855660.5338,325477755660.5338,325477755.6605338,-3.6834322628021714,68478383.26541837,19,6,-3001167276.0145473,33781544927.747482,4.123516492462439,68478383.26541837,457950057.0736158
chandelier,5,2.0,2.0,1.0,2.0,40,,True,4753,3245,68.27266989269934,100000.0,379691937470.7737,379691837470.7737,379691837.4707737,-4.410865006243836,79884670.20214052,19,9,-3815650324.500644,38723710070.356865,3.7069817562437435,79884670.20214055,413330609.4955161
chandelier,5,2.0,2.0,1.0,2.0,40,,True,4753,3245,68.27266989269934,100000.0,379691937470.7737,379691837470.7737,379691837.4707737,-4.410865006243836,79884670.20214052,19,9,-3815650324.500644,38723710070.356865,3.7069817562437435,79884670.20214055,413330609.4955161
chandelier,5,2.0,2.0,3.0,2.0,40,,True,4753,3245,68.27266989269934,100000.0,379691937470.7737,379691837470.7737,379691837.4707737,-4.410865006243836,79884670.20214052,19,9,-3815650324.500644,38723710070.356865,3.7069817562437435,79884670.20214055,413330609.4955161
chandelier,5,2.0,2.0,3.0,2.0,40,,True,4753,3245,68.27266989269934,100000.0,379691937470.7737,379691837470.7737,379691837.4707737,-4.410865006243836,79884670.20214052,19,9,-3815650324.500644,38723710070.356865,3.7069817562437435,79884670.20214055,413330609.4955161
