stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,5,2,1,3,2,40,,TRUE,4753,3458,72.75405007,100000,3.25478E+11,3.25478E+11,325477755.7,-3.683432263,68478383.27,19,6,-3001167276,33781544928,4.123516492,68478383.27,457950057.1
chandelier,5,2,1,3,2,40,,TRUE,4753,3458,72.75405007,100000,3.25478E+11,3.25478E+11,325477755.7,-3.683432263,68478383.27,19,6,-3001167276,33781544928,4.123516492,68478383.27,457950057.1
chandelier,5,2,1,1,2,40,,TRUE,4753,3458,72.75405007,100000,3.25478E+11,3.25478E+11,325477755.7,-3.683432263,68478383.27,19,6,-3001167276,33781544928,4.123516492,68478383.27,457950057.1
chandelier,5,2,1,1,2,40,,TRUE,4753,3458,72.75405007,100000,3.25478E+11,3.25478E+11,325477755.7,-3.683432263,68478383.27,19,6,-3001167276,33781544928,4.123516492,68478383.27,457950057.1
chandelier,5,2,1,2,2,40,,TRUE,4753,3458,72.75405007,100000,3.25478E+11,3.25478E+11,325477755.7,-3.683432263,68478383.27,19,6,-3001167276,33781544928,4.123516492,68478383.27,457950057.1
chandelier,5,2,1,2,2,40,,TRUE,4753,3458,72.75405007,100000,3.25478E+11,3.25478E+11,325477755.7,-3.683432263,68478383.27,19,6,-3001167276,33781544928,4.123516492,68478383.27,457950057.1
chandelier,5,2,2,1,2,40,,TRUE,4753,3245,68.27266989,100000,3.79692E+11,3.79692E+11,379691837.5,-4.410865006,79884670.2,19,9,-3815650325,38723710070,3.706981756,79884670.2,413330609.5
chandelier,5,2,2,1,2,40,,TRUE,4753,3245,68.27266989,100000,3.79692E+11,3.79692E+11,379691837.5,-4.410865006,79884670.2,19,9,-3815650325,38723710070,3.706981756,79884670.2,413330609.5
chandelier,5,2,2,3,2,40,,TRUE,4753,3245,68.27266989,100000,3.79692E+11,3.79692E+11,379691837.5,-4.410865006,79884670.2,19,9,-3815650325,38723710070,3.706981756,79884670.2,413330609.5
chandelier,5,2,2,3,2,40,,TRUE,4753,3245,68.27266989,100000,3.79692E+11,3.79692E+11,379691837.5,-4.410865006,79884670.2,19,9,-3815650325,38723710070,3.706981756,79884670.2,413330609.5
chandelier,5,2,2,2,2,40,,TRUE,4753,3245,68.27266989,100000,3.79692E+11,3.79692E+11,379691837.5,-4.410865006,79884670.2,19,9,-3815650325,38723710070,3.706981756,79884670.2,413330609.5
chandelier,5,2,2,2,2,40,,TRUE,4753,3245,68.27266989,100000,3.79692E+11,3.79692E+11,379691837.5,-4.410865006,79884670.2,19,9,-3815650325,38723710070,3.706981756,79884670.2,413330609.5
chandelier,5,2,3,3,2,40,,TRUE,4753,3194,67.19966337,100000,3.85087E+11,3.85087E+11,385086904.8,-4.410865006,81019756.96,19,9,-3880094040,40385990921,3.634639141,81019756.96,411250552.8
chandelier,5,2,3,3,2,40,,TRUE,4753,3194,67.19966337,100000,3.85087E+11,3.85087E+11,385086904.8,-4.410865006,81019756.96,19,9,-3880094040,40385990921,3.634639141,81019756.96,411250552.8
chandelier,5,2,3,1,2,40,,TRUE,4753,3194,67.19966337,100000,3.85087E+11,3.85087E+11,385086904.8,-4.410865006,81019756.96,19,9,-3880094040,40385990921,3.634639141,81019756.96,411250552.8
chandelier,5,2,3,1,2,40,,TRUE,4753,3194,67.19966337,100000,3.85087E+11,3.85087E+11,385086904.8,-4.410865006,81019756.96,19,9,-3880094040,40385990921,3.634639141,81019756.96,411250552.8
chandelier,5,2,3,2,2,40,,TRUE,4753,3194,67.19966337,100000,3.85087E+11,3.85087E+11,385086904.8,-4.410865006,81019756.96,19,9,-3880094040,40385990921,3.634639141,81019756.96,411250552.8
chandelier,5,2,3,2,2,40,,TRUE,4753,3194,67.19966337,100000,3.85087E+11,3.85087E+11,385086904.8,-4.410865006,81019756.96,19,9,-3880094040,40385990921,3.634639141,81019756.96,411250552.8
chandelier,5,3,3,2,2,40,,TRUE,4753,2628,55.29139491,100000,11512360655,11512260655,11512260.66,-5.055148124,2422104.072,14,13,-279741909.4,2672659122,2.948732619,2422104.072,8750605.664
chandelier,5,3,3,2,2,40,,TRUE,4753,2628,55.29139491,100000,11512360655,11512260655,11512260.66,-5.055148124,2422104.072,14,13,-279741909.4,2672659122,2.948732619,2422104.072,8750605.664
chandelier,5,3,3,1,2,40,,TRUE,4753,2628,55.29139491,100000,11512360655,11512260655,11512260.66,-5.055148124,2422104.072,14,13,-279741909.4,2672659122,2.948732619,2422104.072,8750605.664
chandelier,5,3,3,1,2,40,,TRUE,4753,2628,55.29139491,100000,11512360655,11512260655,11512260.66,-5.055148124,2422104.072,14,13,-279741909.4,2672659122,2.948732619,2422104.072,8750605.664
chandelier,5,3,3,3,2,40,,TRUE,4753,2628,55.29139491,100000,11512360655,11512260655,11512260.66,-5.055148124,2422104.072,14,13,-279741909.4,2672659122,2.948732619,2422104.072,8750605.664
chandelier,5,3,3,3,2,40,,TRUE,4753,2628,55.29139491,100000,11512360655,11512260655,11512260.66,-5.055148124,2422104.072,14,13,-279741909.4,2672659122,2.948732619,2422104.072,8750605.664
chandelier,5,3,2,3,2,40,,TRUE,4753,2703,56.86934568,100000,9474544100,9474444100,9474444.1,-4.39025388,1993360.846,14,12,-232509556,2243448891,3.078107179,1993360.846,8595557.594
chandelier,5,3,2,3,2,40,,TRUE,4753,2703,56.86934568,100000,9474544100,9474444100,9474444.1,-4.39025388,1993360.846,14,12,-232509556,2243448891,3.078107179,1993360.846,8595557.594
chandelier,5,3,2,2,2,40,,TRUE,4753,2703,56.86934568,100000,9474544100,9474444100,9474444.1,-4.39025388,1993360.846,14,12,-232509556,2243448891,3.078107179,1993360.846,8595557.594
chandelier,5,3,2,2,2,40,,TRUE,4753,2703,56.86934568,100000,9474544100,9474444100,9474444.1,-4.39025388,1993360.846,14,12,-232509556,2243448891,3.078107179,1993360.846,8595557.594
chandelier,5,3,2,1,2,40,,TRUE,4753,2703,56.86934568,100000,9474544100,9474444100,9474444.1,-4.39025388,1993360.846,14,12,-232509556,2243448891,3.078107179,1993360.846,8595557.594
chandelier,5,3,2,1,2,40,,TRUE,4753,2703,56.86934568,100000,9474544100,9474444100,9474444.1,-4.39025388,1993360.846,14,12,-232509556,2243448891,3.078107179,1993360.846,8595557.594
chandelier,5,3,1,1,2,40,,TRUE,4753,2955,62.17126026,100000,5815922727,5815822727,5815822.727,-4.728356949,1223610.925,15,12,-103047656.4,1386014977,3.216817157,1223610.925,5202959.163
chandelier,5,3,1,1,2,40,,TRUE,4753,2955,62.17126026,100000,5815922727,5815822727,5815822.727,-4.728356949,1223610.925,15,12,-103047656.4,1386014977,3.216817157,1223610.925,5202959.163
chandelier,5,3,1,3,2,40,,TRUE,4753,2955,62.17126026,100000,5815922727,5815822727,5815822.727,-4.728356949,1223610.925,15,12,-103047656.4,1386014977,3.216817157,1223610.925,5202959.163
chandelier,5,3,1,3,2,40,,TRUE,4753,2955,62.17126026,100000,5815922727,5815822727,5815822.727,-4.728356949,1223610.925,15,12,-103047656.4,1386014977,3.216817157,1223610.925,5202959.163
chandelier,5,3,1,2,2,40,,TRUE,4753,2955,62.17126026,100000,5815922727,5815822727,5815822.727,-4.728356949,1223610.925,15,12,-103047656.4,1386014977,3.216817157,1223610.925,5202959.163
chandelier,5,3,1,2,2,40,,TRUE,4753,2955,62.17126026,100000,5815922727,5815822727,5815822.727,-4.728356949,1223610.925,15,12,-103047656.4,1386014977,3.216817157,1223610.925,5202959.163
chandelier,5,4,3,3,2,40,,TRUE,4753,2290,48.18009678,100000,322565770.7,322465770.7,322465.7707,-6.126705367,67844.6814,12,13,-10260134.32,16701281.09,1.763615887,67844.6814,146764.763
