stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,20,1.0,1.0,0.0,0.0,80,,True,4499,4193,93.19848855301179,100000.0,228079344.54542705,227979344.54542705,227979.34454542707,-0.5024875000001119,50673.337307274196,85,2,-43836.46186597843,8592421.346468572,102.44487808190785,50673.3373072742,2629633.4607809954
chandelier,20,1.0,1.5,0.0,0.0,80,,True,4499,4165,92.57612802845077,100000.0,227523387.34276542,227423387.34276542,227423.3873427654,-0.5000000000000685,50549.76380145924,85,2,-43836.46186597843,8605946.948964212,97.69104297336384,50549.763801459245,2627778.9214547
chandelier,20,1.0,1.0,0.0,0.0,60,,True,4423,4038,91.2955007913181,100000.0,179118766.9401081,179018766.9401081,179018.7669401081,-0.5024875000001119,40474.5120823215,61,3,-41928.63674521123,4823208.3416364,63.1149070216342,40474.51208232148,2044557.407269511
chandelier,20,1.0,1.5,0.0,0.0,60,,True,4423,4006,90.5720099479991,100000.0,178813732.45436072,178713732.45436072,178713.73245436072,-0.5000000000000685,40405.54656440439,61,3,-41377.33704339581,4832065.820560014,60.47847043343586,40405.54656440439,2043470.111947909
chandelier,10,1.0,1.0,0.0,0.0,80,,True,4503,4180,92.82700421940928,100000.0,228684930.53216857,228584930.53216857,228584.93053216857,-0.6814277987121353,50762.809356466525,84,3,-49437.95833870806,8660385.300173163,92.2672376969633,50762.80935646652,1940514.3485864752
chandelier,15,1.0,1.0,0.0,0.0,80,,True,4500,4184,92.97777777777779,100000.0,228626874.84582308,228526874.84582308,228526.87484582307,-0.6832415687325017,50783.7499657386,85,3,-47264.96385333576,8618465.085254831,97.97545538895771,50783.7499657386,1936384.3106937746
chandelier,10,1.0,1.5,0.0,0.0,80,,True,4503,4152,92.20519653564291,100000.0,228487105.00571424,228387105.00571424,228387.10500571423,-0.6814277987121348,50718.877416325675,84,3,-49209.12017217037,8677066.098979577,88.40826405707743,50718.87741632567,1932582.8130343386
chandelier,15,1.0,1.5,0.0,0.0,80,,True,4500,4159,92.42222222222222,100000.0,227875063.236857,227775063.236857,227775.06323685698,-0.6832415687324942,50616.6807193017,84,3,-47264.96385333576,8633390.178355807,94.56782267629771,50616.68071930169,1924457.7250833227
chandelier,5,1.0,1.0,0.0,0.0,60,,True,4454,4022,90.30085316569377,100000.0,178988641.04256126,178888641.04256126,178888.64104256127,-0.6191598387055244,40163.59251067848,60,4,-62108.027655053775,6915740.567639899,50.51811005810409,40163.59251067848,1649460.7151793232
chandelier,5,1.0,1.0,0.0,0.0,80,,True,4501,4159,92.40168851366363,100000.0,227876366.52611732,227776366.52611732,227776.36652611732,-0.8171945966021176,50605.72462255439,96,3,-62108.027655053775,9913829.683505418,80.88395746746845,50605.724622554386,1608841.67756446
chandelier,15,1.0,1.0,0.0,0.0,60,,True,4431,4033,91.01782893252087,100000.0,179638649.8520158,179538649.8520158,179538.64985201578,-0.6832415687325021,40518.76548228765,62,3,-41784.291599687065,4837974.733772194,60.86011954174098,40518.76548228764,1505840.0135619566
chandelier,10,1.0,1.0,0.0,0.0,60,,True,4447,4034,90.71284011693277,100000.0,179422793.6980191,179322793.6980191,179322.7936980191,-0.681427798712143,40324.44202788823,61,4,-41719.452166221345,4861941.346394181,56.77382401487528,40324.44202788824,1505625.0720246383
chandelier,10,1.0,1.5,0.0,0.0,60,,True,4447,4002,89.99325387901956,100000.0,179349730.20426944,179249730.20426944,179249.73020426944,-0.6814277987121564,40308.012188951965,50,4,-41719.452166221345,4872023.481334752,54.77923271489011,40308.012188951965,1499332.9988654295
chandelier,15,1.0,1.5,0.0,0.0,60,,True,4431,4002,90.3182125930941,100000.0,179121014.00455174,179021014.00455174,179021.01400455175,-0.6832415687325035,40401.94403172024,50,3,-40857.25172574758,4847305.0780959325,58.781363565427625,40401.944031720224,1495999.1148586879
chandelier,20,1.0,2.0,0.0,0.0,80,,True,4499,4159,92.44276505890198,100000.0,227505288.36424237,227405288.36424237,227405.28836424235,-0.9975000000000211,50545.740912256515,85,2,-43836.46186597843,8619472.551459854,97.04355964593601,50545.740912256515,1316165.488175363
