stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,15,4.0,4.0,0.0,0.0,40,,True,4550,2079,45.6923,100000.00,10038864.13,9938864.13,9938.86,-8.57,2184.3657,11,12,-256717.51,344861.43,1.5347,2184.3657,2985.70
atr_trailing,10,1.0,3.5,1.5,3.0,0,,True,4752,1438,30.2609,100000.00,199709.95,99709.95,99.71,-31.08,20.9827,7,26,-22072.28,16954.22,1.0390,20.9827,6.35
atr_trailing,5,1.0,4.0,1.0,3.0,0,,True,4752,1430,30.0926,100000.00,199634.23,99634.23,99.63,-35.37,20.9668,7,26,-23881.57,20239.61,1.0388,20.9668,5.57
atr_trailing,5,1.0,2.0,0.5,3.0,0,,True,4753,1657,34.8622,100000.00,199250.00,99250.00,99.25,-29.66,20.8815,7,23,-19311.73,10874.12,1.0400,20.8815,6.86
atr_trailing,5,1.0,4.0,1.0,4.0,0,,True,4752,1413,29.7348,100000.00,199238.50,99238.50,99.24,-38.67,20.8835,7,26,-24804.54,20639.42,1.0378,20.8835,5.06
atr_trailing,10,1.0,3.5,1.0,3.0,0,,True,4752,1436,30.2189,100000.00,199140.83,99140.83,99.14,-31.19,20.8630,7,26,-22037.72,16927.67,1.0389,20.8630,6.29
atr_trailing,5,1.0,4.0,0.5,4.0,0,,True,4752,1413,29.7348,100000.00,199032.04,99032.04,99.03,-38.69,20.8401,7,26,-24804.54,20639.42,1.0377,20.8401,5.04
atr_trailing,5,1.0,4.0,0.5,3.0,0,,True,4752,1430,30.0926,100000.00,198987.02,98987.02,98.99,-35.17,20.8306,7,26,-23802.07,20178.94,1.0386,20.8306,5.56
atr_trailing,10,1.0,3.5,0.5,3.0,0,,True,4752,1437,30.2399,100000.00,198981.87,98981.87,98.98,-31.19,20.8295,7,26,-22037.72,16927.67,1.0388,20.8295,6.28
atr_trailing,5,1.0,4.0,1.5,4.0,0,,True,4752,1414,29.7559,100000.00,198946.52,98946.52,98.95,-38.72,20.8221,7,26,-24804.54,20639.42,1.0377,20.8221,5.04
atr_trailing,5,1.0,4.0,2.0,4.0,0,,True,4752,1415,29.7769,100000.00,198378.83,98378.83,98.38,-38.76,20.7026,7,26,-24804.54,20639.42,1.0375,20.7026,5.00
atr_trailing,5,1.0,2.0,1.5,3.0,0,,True,4753,1659,34.9043,100000.00,198181.07,98181.07,98.18,-30.68,20.6567,7,23,-19343.46,10936.02,1.0396,20.6567,6.56
atr_trailing,5,1.0,4.0,3.0,4.0,0,,True,4752,1416,29.7980,100000.00,197982.84,97982.84,97.98,-38.20,20.6193,7,26,-24615.06,20621.20,1.0373,20.6193,5.06
atr_static,5,1.0,4.0,2.5,2.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,0.5,3.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.0,1.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.0,2.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.5,3.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,3.0,3.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,3.0,1.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,3.0,2.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.5,1.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.0,2.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.5,1.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.5,4.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,3.0,4.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,0.5,2.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,0.5,1.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.0,1.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.0,4.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.5,2.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.0,3.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.0,3.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.5,3.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,1.0,4.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,2.5,4.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
atr_static,5,1.0,4.0,0.5,4.0,0,,True,4752,1414,29.7559,100000.00,197860.01,97860.01,97.86,-37.67,20.5934,7,26,-24400.08,20596.65,1.0373,20.5934,5.12
