stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,15,1.0,1.0,0.0,0.0,80,,True,4500,4184,92.9778,100000.00,228626874.85,228526874.85,228526.87,-0.68,50783.7500,85,3,-47264.96,8618465.09,97.9755,50783.7500,1936384.31
chandelier,20,1.0,1.5,0.0,0.0,80,,True,4499,4165,92.5761,100000.00,227523387.34,227423387.34,227423.39,-0.50,50549.7638,85,2,-43836.46,8605946.95,97.6910,50549.7638,2627778.92
chandelier,20,1.0,2.0,0.0,0.0,80,,True,4499,4159,92.4428,100000.00,227505288.36,227405288.36,227405.29,-1.00,50545.7409,85,2,-43836.46,8619472.55,97.0436,50545.7409,1316165.49
chandelier,20,1.0,2.5,0.0,0.0,80,,True,4499,4150,92.2427,100000.00,227207391.63,227107391.63,227107.39,-1.49,50479.5269,85,3,-43836.46,8632998.15,95.2666,50479.5269,877575.42
chandelier,20,1.0,3.0,0.0,0.0,80,,True,4499,4147,92.1760,100000.00,226915425.29,226815425.29,226815.43,-1.49,50414.6311,85,3,-43836.46,8646523.76,95.0975,50414.6311,876143.22
chandelier,20,1.0,3.5,0.0,0.0,80,,True,4499,4145,92.1316,100000.00,226861494.25,226761494.25,226761.49,-1.49,50402.6438,85,3,-43836.46,8660049.36,94.7792,50402.6438,875732.27
chandelier,15,1.0,1.5,0.0,0.0,80,,True,4500,4159,92.4222,100000.00,227875063.24,227775063.24,227775.06,-0.68,50616.6807,84,3,-47264.96,8633390.18,94.5678,50616.6807,1924457.73
chandelier,20,1.0,4.5,0.0,0.0,80,,True,4499,4143,92.0871,100000.00,226821272.24,226721272.24,226721.27,-1.49,50393.7035,85,3,-43836.46,8643556.15,94.4849,50393.7035,875374.35
chandelier,20,1.0,4.0,0.0,0.0,80,,True,4499,4143,92.0871,100000.00,226793730.57,226693730.57,226693.73,-1.49,50387.5818,85,3,-43836.46,8673574.96,94.4814,50387.5818,875268.01
chandelier,20,1.0,5.0,0.0,0.0,80,,True,4499,4143,92.0871,100000.00,226656549.07,226556549.07,226556.55,-1.49,50357.0903,85,3,-43836.46,8648224.28,94.4534,50357.0903,874738.35
chandelier,15,1.0,2.0,0.0,0.0,80,,True,4500,4150,92.2222,100000.00,227749896.55,227649896.55,227649.90,-1.00,50588.8659,84,3,-47264.96,8648315.27,93.2752,50588.8659,1316071.25
chandelier,10,1.0,1.0,0.0,0.0,80,,True,4503,4180,92.8270,100000.00,228684930.53,228584930.53,228584.93,-0.68,50762.8094,84,3,-49437.96,8660385.30,92.2672,50762.8094,1940514.35
chandelier,15,1.0,2.5,0.0,0.0,80,,True,4500,4139,91.9778,100000.00,227531270.00,227431270.00,227431.27,-1.49,50540.2822,84,3,-47264.96,8663240.36,91.9569,50540.2822,877615.76
chandelier,15,1.0,3.0,0.0,0.0,80,,True,4500,4135,91.8889,100000.00,227109618.29,227009618.29,227009.62,-1.49,50446.5818,84,3,-47264.96,8678165.46,91.4976,50446.5818,875583.09
chandelier,15,1.0,4.0,0.0,0.0,80,,True,4500,4134,91.8667,100000.00,227288868.95,227188868.95,227188.87,-1.49,50486.4153,84,3,-47264.96,8708015.64,91.3602,50486.4153,876172.98
chandelier,15,1.0,3.5,0.0,0.0,80,,True,4500,4134,91.8667,100000.00,227130954.81,227030954.81,227030.95,-1.49,50451.3233,84,3,-47264.96,8693090.55,91.3060,50451.3233,875563.97
chandelier,15,1.0,4.5,0.0,0.0,80,,True,4500,4133,91.8444,100000.00,227017558.06,226917558.06,226917.56,-1.49,50426.1240,84,3,-47264.96,8673790.16,91.1049,50426.1240,875025.29
chandelier,15,1.0,5.0,0.0,0.0,80,,True,4500,4133,91.8444,100000.00,226940551.49,226840551.49,226840.55,-1.49,50409.0114,84,3,-47264.96,8643098.71,91.0743,50409.0114,874728.34
chandelier,10,1.0,1.5,0.0,0.0,80,,True,4503,4152,92.2052,100000.00,228487105.01,228387105.01,228387.11,-0.68,50718.8774,84,3,-49209.12,8677066.10,88.4083,50718.8774,1932582.81
chandelier,10,1.0,2.0,0.0,0.0,80,,True,4503,4140,91.9387,100000.00,227852875.82,227752875.82,227752.88,-1.00,50578.0315,84,3,-47819.75,8693746.90,87.3130,50578.0315,1314724.59
chandelier,10,1.0,2.5,0.0,0.0,80,,True,4503,4136,91.8499,100000.00,227951166.92,227851166.92,227851.17,-1.00,50599.8594,84,3,-47836.57,8710427.70,86.8621,50599.8594,1314683.26
chandelier,10,1.0,3.0,0.0,0.0,80,,True,4503,4133,91.7833,100000.00,227659028.34,227559028.34,227559.03,-1.49,50534.9830,84,3,-47153.67,8727108.50,86.5625,50534.9830,877219.01
chandelier,10,1.0,3.5,0.0,0.0,80,,True,4503,4129,91.6944,100000.00,227373333.50,227273333.50,227273.33,-1.49,50471.5375,84,3,-46793.56,8743789.29,86.0664,50471.5375,875711.89
