stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,20,1,1,0,0,80,,TRUE,4499,4193,93.1985,100000,228079344.6,227979344.6,227979.34,-0.5,50673.3373,85,2,-43836.46,8592421.35,102.4449,50673.3373,2629633.46
chandelier,20,1,1.5,0,0,80,,TRUE,4499,4165,92.5761,100000,227523387.3,227423387.3,227423.39,-0.5,50549.7638,85,2,-43836.46,8605946.95,97.691,50549.7638,2627778.92
chandelier,20,1,1,0,0,60,,TRUE,4423,4038,91.2955,100000,179118766.9,179018766.9,179018.77,-0.5,40474.5121,61,3,-41928.64,4823208.34,63.1149,40474.5121,2044557.41
chandelier,20,1,1.5,0,0,60,,TRUE,4423,4006,90.572,100000,178813732.5,178713732.5,178713.73,-0.5,40405.5466,61,3,-41377.34,4832065.82,60.4785,40405.5466,2043470.11
chandelier,10,1,1,0,0,80,,TRUE,4503,4180,92.827,100000,228684930.5,228584930.5,228584.93,-0.68,50762.8094,84,3,-49437.96,8660385.3,92.2672,50762.8094,1940514.35
chandelier,15,1,1,0,0,80,,TRUE,4500,4184,92.9778,100000,228626874.9,228526874.9,228526.87,-0.68,50783.75,85,3,-47264.96,8618465.09,97.9755,50783.75,1936384.31
chandelier,10,1,1.5,0,0,80,,TRUE,4503,4152,92.2052,100000,228487105,228387105,228387.11,-0.68,50718.8774,84,3,-49209.12,8677066.1,88.4083,50718.8774,1932582.81
chandelier,15,1,1.5,0,0,80,,TRUE,4500,4159,92.4222,100000,227875063.2,227775063.2,227775.06,-0.68,50616.6807,84,3,-47264.96,8633390.18,94.5678,50616.6807,1924457.73
chandelier,5,1,1,0,0,60,,TRUE,4454,4022,90.3009,100000,178988641,178888641,178888.64,-0.62,40163.5925,60,4,-62108.03,6915740.57,50.5181,40163.5925,1649460.72
chandelier,5,1,1,0,0,80,,TRUE,4501,4159,92.4017,100000,227876366.5,227776366.5,227776.37,-0.82,50605.7246,96,3,-62108.03,9913829.68,80.884,50605.7246,1608841.68
chandelier,15,1,1,0,0,60,,TRUE,4431,4033,91.0178,100000,179638649.9,179538649.9,179538.65,-0.68,40518.7655,62,3,-41784.29,4837974.73,60.8601,40518.7655,1505840.01
chandelier,10,1,1,0,0,60,,TRUE,4447,4034,90.7128,100000,179422793.7,179322793.7,179322.79,-0.68,40324.442,61,4,-41719.45,4861941.35,56.7738,40324.442,1505625.07
chandelier,10,1,1.5,0,0,60,,TRUE,4447,4002,89.9933,100000,179349730.2,179249730.2,179249.73,-0.68,40308.0122,50,4,-41719.45,4872023.48,54.7792,40308.0122,1499333
