stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,20,1.0,1.5,0.0,0.0,80,,False,4501,4126,91.66851810708732,100000.0,2019022.9923961132,1919022.9923961132,1919.0229923961133,-0.5384773381662391,426.3548083528351,85,2,-1072.2724436717704,44148.53044837028,13.881154126398107,426.3548083528351,20492.02076461974
chandelier,10,1.0,1.5,0.0,0.0,80,,False,4495,4105,91.32369299221357,100000.0,2007711.0253688449,1907711.0253688449,1907.711025368845,-0.5370317489975743,424.40734713433704,83,3,-1607.5561888890027,43084.25910992076,13.39729287500651,424.4073471343371,20389.315113128167
chandelier,15,1.0,1.5,0.0,0.0,80,,False,4501,4110,91.31304154632303,100000.0,2011583.153037576,1911583.153037576,1911.583153037576,-0.5478576980529168,424.7018780354538,84,3,-1342.182054137857,43689.55102798833,13.385188550714455,424.7018780354538,20025.863749440578
chandelier,10,1.0,1.5,0.0,0.0,60,,False,4437,3948,88.9790398918188,100000.0,1890867.8174165634,1790867.8174165634,1790.8678174165634,-0.5362891921160541,403.6213246374938,50,4,-2097.395449190025,26257.9096412511,10.240833416046469,403.6213246374938,18932.12574580288
chandelier,20,1.0,1.5,0.0,0.0,60,,False,4424,3956,89.42133815551537,100000.0,1898851.8968434732,1798851.8968434732,1798.8518968434732,-0.5412776144420925,406.61209241489075,61,3,-1564.3393702332733,31587.48818529678,10.708105350958855,406.6120924148907,18885.36996647575
chandelier,10,1.0,1.0,0.0,0.0,80,,False,4495,4133,91.94660734149055,100000.0,2007445.3303261204,1907445.3303261204,1907.4453303261205,-0.5819821282816395,424.348238114821,83,3,-1607.5561888890027,42584.25910992061,13.958785862063873,424.348238114821,18873.13933126243
chandelier,15,1.0,1.0,0.0,0.0,80,,False,4501,4138,91.93512552766052,100000.0,2015030.7772643447,1915030.7772643447,1915.0307772643448,-0.5883546049817239,425.46784653729094,84,3,-1342.182054137857,43189.55102798829,13.990156527723807,425.46784653729094,18741.84392429373
chandelier,20,1.0,1.0,0.0,0.0,80,,False,4501,4154,92.29060208842479,100000.0,2022710.9976254937,1922710.9976254937,1922.7109976254937,-0.5918721891136682,427.174182987223,85,2,-1072.2724436717704,43648.53044837033,14.603172414058621,427.17418298722293,18739.818942790604
chandelier,15,1.0,1.5,0.0,0.0,60,,False,4438,3948,88.95899053627761,100000.0,1891588.8795463594,1791588.8795463594,1791.5888795463595,-0.5575278561188194,403.69285253410624,50,4,-2142.6235463720177,26350.762431421164,10.224774150068859,403.69285253410624,18216.31811323984
chandelier,10,1.0,1.0,0.0,0.0,60,,False,4437,3977,89.63263466306063,100000.0,1885471.766553401,1785471.766553401,1785.471766553401,-0.5819821282816395,402.40517614455655,52,4,-2097.395449190025,26855.017220976584,10.52375736876045,402.4051761445565,17453.304771113824
chandelier,20,1.0,1.0,0.0,0.0,60,,False,4424,3986,90.0994575045208,100000.0,1900714.490409845,1800714.490409845,1800.714490409845,-0.5918721891136682,407.03311266045404,61,3,-1564.3393702332733,30742.323032628614,11.152582353615507,407.0331126604541,17350.782181203318
chandelier,15,1.0,1.0,0.0,0.0,60,,False,4438,3979,89.65750337990086,100000.0,1893091.4909621067,1793091.4909621067,1793.0914909621065,-0.5883546049817239,404.03143104148523,50,4,-2142.6235463720177,25610.300555708825,10.591624880023481,404.0314310414853,17340.218940829785
chandelier,20,1.0,1.0,0.0,0.0,40,,False,4313,3693,85.62485508926501,100000.0,1675747.6130861992,1575747.6130861992,1575.7476130861992,-0.6047982863208518,365.348391626756,34,3,-1614.6984958757694,16442.71314511314,7.213216674066162,365.34839162675604,14508.86662307147
chandelier,15,1.0,1.0,0.0,0.0,40,,False,4336,3698,85.2859778597786,100000.0,1680797.2833006538,1580797.2833006538,1580.7972833006538,-0.6068424135271527,364.57501921140596,39,5,-2614.6820327846344,18246.640779536072,7.0531041254294555,364.57501921140596,14479.849986029569
chandelier,20,1.0,1.5,0.0,0.0,40,,False,4313,3655,84.74379782054254,100000.0,1671812.6003075384,1571812.6003075384,1571.8126003075383,-0.6046389972129901,364.4360306764522,34,3,-1614.6984958757694,16322.48298048205,6.9396498538540605,364.43603067645216,14407.735719072729
chandelier,15,1.0,1.5,0.0,0.0,40,,False,4336,3659,84.38653136531366,100000.0,1677269.7195911936,1577269.7195911936,1577.2697195911937,-0.6266753380896594,363.76146669538645,34,5,-2614.6820327846344,16332.285049210666,6.823089522921807,363.7614666953865,13922.390508114362
chandelier,20,2.0,1.0,0.0,0.0,80,,False,4486,3730,83.14757021845742,100000.0,1601423.3700634025,1501423.3700634025,1501.4233700634024,-0.608381618952632,334.6908983645569,31,6,-2557.621104912741,15431.461218331731,5.4828761559943135,334.69089836455686,13559.681959312933
chandelier,5,1.0,1.0,0.0,0.0,60,,False,4450,3971,89.23595505617978,100000.0,1868228.6923494039,1768228.6923494039,1768.228692349404,-0.7601286725555244,397.3547623257091,60,4,-1963.5826259900223,31292.84186964346,10.091729455002714,397.3547623257092,13206.150120460186
chandelier,10,1.0,1.0,0.0,0.0,40,,False,4339,3691,85.06568333717446,100000.0,1669413.2352686978,1569413.2352686978,1569.413235268698,-0.6860835261188842,361.6992936779665,37,5,-2566.2758384180215,18115.941767537606,6.923007069727892,361.6992936779666,12700.10961200718
chandelier,10,1.0,1.5,0.0,0.0,40,,False,4339,3654,84.21295229315511,100000.0,1673300.392881975,1573300.392881975,1573.300392881975,-0.6910004560009345,362.5951585346794,37,5,-2566.2758384180215,18808.685394976445,6.760024722903971,362.5951585346794,12582.725859288472
chandelier,5,1.0,1.0,0.0,0.0,80,,False,4500,4121,91.57777777777778,100000.0,1986490.400832344,1886490.400832344,1886.4904008323442,-0.9375148518828834,419.2200890738535,95,3,-1560.3480026061443,49611.32388996884,13.35172619009603,419.22008907385356,11564.925229655497
chandelier,5,1.0,1.0,0.0,0.0,40,,False,4346,3681,84.69857340082835,100000.0,1645545.0582715806,1545545.0582715806,1545.5450582715805,-0.7561808782713523,355.6247257872949,37,5,-2406.1581419391664,18329.535960047404,6.706572254691892,355.62472578729484,11325.066882490975
chandelier,10,1.0,2.5,0.0,0.0,80,,False,4495,4092,91.0344827586207,100000.0,2007757.6123359022,1907757.6123359022,1907.7576123359022,-1.0570894862602855,424.4177113094333,83,3,-1607.5561888890027,44084.25910992047,13.04901157423076,424.4177113094333,10342.950907327622
chandelier,5,1.0,2.5,0.0,0.0,80,,False,4500,4078,90.62222222222222,100000.0,1990751.9566391008,1890751.9566391008,1890.7519566391009,-1.045736343402262,420.167101475355,82,3,-1560.3480026061443,43972.38380300618,12.642751901618524,420.16710147535514,10339.680988984757
chandelier,20,1.0,2.0,0.0,0.0,80,,False,4501,4117,91.4685625416574,100000.0,2017915.7766109107,1917915.7766109107,1917.9157766109106,-1.0674456620479726,426.1088150657427,85,2,-1077.6828517682043,44648.53044837033,13.577154882523091,426.1088150657427,10320.541547354776
chandelier,5,1.0,2.0,0.0,0.0,80,,False,4500,4084,90.75555555555556,100000.0,1990003.07512474,1890003.07512474,1890.00307512474,-1.0483263097887403,420.00068336105267,82,3,-1560.3480026061443,43222.383803006254,12.729036639242427,420.0006833610526,10317.262379967806
chandelier,10,1.0,2.0,0.0,0.0,80,,False,4495,4095,91.10122358175751,100000.0,2004458.4700948838,1904458.4700948838,1904.458470094884,-1.0597073220736208,423.68375308006324,83,3,-1607.5561888890027,43584.25910992061,13.121834512050194,423.6837530800632,10303.156437107926
chandelier,5,1.0,1.5,0.0,0.0,80,,False,4500,4091,90.91111111111111,100000.0,1987907.6699023643,1887907.6699023643,1887.9076699023642,-1.0509291371236547,419.5350377560801,82,3,-1560.3480026061443,42472.38380300633,12.814781531296642,419.5350377560802,10288.682791383328
