stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,10,3.0,1.0,0.0,0.0,60,,False,4508,3133,69.4987,100000.00,1098658.50,998658.50,998.66,-3.06,221.5303,20,10,-4203.25,9498.56,2.8921,221.5303,1351.83
chandelier,20,2.0,1.0,0.0,0.0,40,,False,4371,3138,71.7914,100000.00,1098167.24,998167.24,998.17,-2.14,228.3613,23,9,-3745.53,15430.41,2.8736,228.3613,1953.99
chandelier,20,2.0,4.0,0.0,0.0,40,,False,4371,2876,65.7973,100000.00,1097837.56,997837.56,997.84,-2.23,228.2859,21,9,-3847.23,13480.37,2.6274,228.2859,1716.28
chandelier,20,2.0,4.5,0.0,0.0,40,,False,4371,2872,65.7058,100000.00,1095671.93,995671.93,995.67,-2.23,227.7904,21,9,-3847.23,13480.37,2.6195,227.7904,1708.71
chandelier,20,3.0,2.5,0.0,0.0,60,,False,4513,2856,63.2838,100000.00,1093672.49,993672.49,993.67,-3.01,220.1800,16,10,-4171.66,10229.72,2.5847,220.1800,1237.24
chandelier,20,3.0,2.0,0.0,0.0,60,,False,4513,2895,64.1480,100000.00,1093622.39,993622.39,993.62,-2.99,220.1689,16,10,-4171.66,10229.72,2.6127,220.1689,1256.86
chandelier,20,3.0,1.5,0.0,0.0,60,,False,4513,2975,65.9207,100000.00,1093591.14,993591.14,993.59,-3.00,220.1620,18,10,-4171.66,10229.72,2.6769,220.1620,1285.70
chandelier,20,2.0,2.0,0.0,0.0,40,,False,4371,2926,66.9412,100000.00,1093556.95,993556.95,993.56,-2.14,227.3066,21,9,-3745.53,15437.81,2.6668,227.3066,1811.66
chandelier,20,2.0,1.5,0.0,0.0,40,,False,4371,2989,68.3825,100000.00,1092904.64,992904.64,992.90,-2.16,227.1573,23,9,-3745.53,15187.81,2.7206,227.1573,1826.83
chandelier,10,4.0,2.5,0.0,0.0,80,,False,4560,2813,61.6886,100000.00,1092850.40,992850.40,992.85,-2.89,217.7304,19,13,-4235.48,12348.59,2.7358,217.7304,1315.92
chandelier,15,4.0,2.5,0.0,0.0,80,,False,4535,2806,61.8743,100000.00,1092102.23,992102.23,992.10,-2.97,218.7657,12,14,-4530.33,9037.16,2.7398,218.7657,1281.26
chandelier,5,3.0,1.0,0.0,0.0,60,,False,4486,3057,68.1453,100000.00,1089258.31,989258.31,989.26,-1.81,220.5212,20,8,-2893.25,10092.68,2.9072,220.5212,2252.99
chandelier,15,3.0,1.0,0.0,0.0,60,,False,4504,3132,69.5382,100000.00,1088734.32,988734.32,988.73,-3.55,219.5236,18,11,-4813.53,8878.29,2.8463,219.5236,1144.99
chandelier,10,4.0,2.0,0.0,0.0,80,,False,4560,2849,62.4781,100000.00,1088571.80,988571.80,988.57,-1.79,216.7921,19,13,-4235.48,11348.59,2.7678,216.7921,2140.73
chandelier,5,4.0,1.5,0.0,0.0,80,,False,4573,2897,63.3501,100000.00,1082871.04,982871.04,982.87,-2.95,214.9292,19,11,-4106.36,10575.11,2.8463,214.9292,1318.04
chandelier,20,4.0,3.5,0.0,0.0,80,,False,4543,2770,60.9729,100000.00,1082720.88,982720.88,982.72,-3.21,216.3154,14,14,-4527.49,8962.53,2.6544,216.3154,1146.14
chandelier,20,4.0,4.5,0.0,0.0,80,,False,4543,2761,60.7748,100000.00,1081682.38,981682.38,981.68,-3.81,216.0868,14,14,-4527.49,9956.67,2.6421,216.0868,962.15
chandelier,20,4.0,5.0,0.0,0.0,80,,False,4543,2758,60.7088,100000.00,1081646.52,981646.52,981.65,-3.85,216.0789,14,14,-4527.49,8068.23,2.6396,216.0789,951.64
chandelier,5,3.0,2.0,0.0,0.0,20,,False,4589,1748,38.0911,100000.00,198595.24,98595.24,98.60,-12.26,21.4851,10,14,-4843.77,8309.14,1.0967,21.4851,17.20
chandelier,5,4.0,1.0,0.0,0.0,80,,False,4573,3039,66.4553,100000.00,1079033.33,979033.33,979.03,-2.25,214.0899,19,7,-2691.40,9696.43,2.9765,214.0899,1805.13
chandelier,20,4.0,4.0,0.0,0.0,80,,False,4543,2764,60.8409,100000.00,1076223.23,976223.23,976.22,-3.81,214.8851,14,14,-4527.49,9206.67,2.6368,214.8851,954.68
chandelier,20,4.0,3.0,0.0,0.0,80,,False,4543,2781,61.2151,100000.00,1072064.35,972064.35,972.06,-3.39,213.9697,14,14,-4527.49,9384.23,2.6489,213.9697,1075.62
chandelier,20,3.0,1.0,0.0,0.0,60,,False,4513,3116,69.0450,100000.00,1063989.90,963989.90,963.99,-3.04,213.6029,18,10,-4171.66,10229.72,2.7540,213.6029,1275.64
chandelier,20,4.0,2.5,0.0,0.0,80,,False,4543,2799,61.6113,100000.00,1063502.36,963502.36,963.50,-3.45,212.0850,14,14,-4527.49,8884.23,2.6518,212.0850,1049.09
chandelier,15,4.0,2.0,0.0,0.0,80,,False,4535,2825,62.2933,100000.00,1061728.68,961728.68,961.73,-1.86,212.0681,12,14,-4530.33,8593.42,2.7100,212.0681,1974.34
