stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,10,1.0,2.0,0.0,0.0,60,,False,4437,3934,88.6635,100000.00,1883630.41,1783630.41,1783.63,-1.06,401.9902,50,4,-2097.40,26257.91,9.9900,401.9902,9526.38
chandelier,15,1.0,2.0,0.0,0.0,60,,False,4438,3932,88.5985,100000.00,1886205.08,1786205.08,1786.21,-1.61,402.4797,50,4,-2142.62,26350.76,9.9741,402.4797,6263.48
chandelier,10,1.0,2.5,0.0,0.0,60,,False,4437,3931,88.5959,100000.00,1888311.05,1788311.05,1788.31,-1.06,403.0451,50,4,-2097.40,26257.91,9.9584,403.0451,9571.61
chandelier,15,1.0,2.5,0.0,0.0,60,,False,4438,3928,88.5083,100000.00,1885198.87,1785198.87,1785.20,-1.61,402.2530,50,4,-2142.62,26350.76,9.8903,402.2530,6256.96
chandelier,10,1.0,3.0,0.0,0.0,60,,False,4437,3924,88.4381,100000.00,1885677.93,1785677.93,1785.68,-1.62,402.4516,50,4,-2097.40,26257.91,9.8268,402.4516,6234.85
chandelier,15,1.0,3.0,0.0,0.0,60,,False,4438,3922,88.3731,100000.00,1881224.99,1781224.99,1781.22,-1.61,401.3576,50,4,-2142.62,26350.76,9.7731,401.3576,6238.56
chandelier,15,1.0,3.5,0.0,0.0,60,,False,4438,3921,88.3506,100000.00,1882887.92,1782887.92,1782.89,-1.61,401.7323,50,4,-2142.62,26420.43,9.7582,401.7323,6243.64
chandelier,15,1.0,4.0,0.0,0.0,60,,False,4438,3920,88.3281,100000.00,1880824.15,1780824.15,1780.82,-1.61,401.2673,50,4,-2142.62,26350.76,9.7315,401.2673,6235.66
chandelier,10,1.0,3.5,0.0,0.0,60,,False,4437,3921,88.3705,100000.00,1877361.76,1777361.76,1777.36,-1.62,400.5774,50,4,-2097.40,26257.91,9.7289,400.5774,6203.58
chandelier,5,1.0,1.5,0.0,0.0,60,,False,4450,3932,88.3596,100000.00,1866610.52,1766610.52,1766.61,-1.05,396.9911,50,4,-1963.58,25757.77,9.7143,396.9911,9498.96
chandelier,15,1.0,5.0,0.0,0.0,60,,False,4438,3919,88.3055,100000.00,1875807.08,1775807.08,1775.81,-1.61,400.1368,50,4,-2142.62,26350.76,9.7005,400.1368,6217.35
chandelier,15,1.0,4.5,0.0,0.0,60,,False,4438,3919,88.3055,100000.00,1875580.76,1775580.76,1775.58,-1.61,400.0858,50,4,-2142.62,26350.76,9.6994,400.0858,6216.56
chandelier,10,1.0,4.0,0.0,0.0,60,,False,4437,3920,88.3480,100000.00,1875956.71,1775956.71,1775.96,-1.62,400.2607,50,4,-2097.40,26257.91,9.6979,400.2607,6197.94
chandelier,10,1.0,4.5,0.0,0.0,60,,False,4437,3918,88.3029,100000.00,1874397.99,1774397.99,1774.40,-1.62,399.9094,50,4,-2097.40,26257.91,9.6744,399.9094,6191.02
chandelier,5,1.0,2.0,0.0,0.0,60,,False,4450,3924,88.1798,100000.00,1871073.37,1771073.37,1771.07,-1.05,397.9940,50,4,-1963.58,26302.44,9.6637,397.9940,9537.49
