stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,20,1.0,1.5,0.0,0.0,80,,False,4501,4126,91.6685,100000.00,2019022.99,1919022.99,1919.02,-0.54,426.3548,85,2,-1072.27,44148.53,13.8812,426.3548,20492.02
chandelier,10,1.0,1.5,0.0,0.0,80,,False,4495,4105,91.3237,100000.00,2007711.03,1907711.03,1907.71,-0.54,424.4073,83,3,-1607.56,43084.26,13.3973,424.4073,20389.32
chandelier,15,1.0,1.5,0.0,0.0,80,,False,4501,4110,91.3130,100000.00,2011583.15,1911583.15,1911.58,-0.55,424.7019,84,3,-1342.18,43689.55,13.3852,424.7019,20025.86
chandelier,10,1.0,1.5,0.0,0.0,60,,False,4437,3948,88.9790,100000.00,1890867.82,1790867.82,1790.87,-0.54,403.6213,50,4,-2097.40,26257.91,10.2408,403.6213,18932.13
chandelier,20,1.0,1.5,0.0,0.0,60,,False,4424,3956,89.4213,100000.00,1898851.90,1798851.90,1798.85,-0.54,406.6121,61,3,-1564.34,31587.49,10.7081,406.6121,18885.37
chandelier,10,1.0,1.0,0.0,0.0,80,,False,4495,4133,91.9466,100000.00,2007445.33,1907445.33,1907.45,-0.58,424.3482,83,3,-1607.56,42584.26,13.9588,424.3482,18873.14
chandelier,15,1.0,1.0,0.0,0.0,80,,False,4501,4138,91.9351,100000.00,2015030.78,1915030.78,1915.03,-0.59,425.4678,84,3,-1342.18,43189.55,13.9902,425.4678,18741.84
chandelier,20,1.0,1.0,0.0,0.0,80,,False,4501,4154,92.2906,100000.00,2022711.00,1922711.00,1922.71,-0.59,427.1742,85,2,-1072.27,43648.53,14.6032,427.1742,18739.82
chandelier,15,1.0,1.5,0.0,0.0,60,,False,4438,3948,88.9590,100000.00,1891588.88,1791588.88,1791.59,-0.56,403.6929,50,4,-2142.62,26350.76,10.2248,403.6929,18216.32
chandelier,10,1.0,1.0,0.0,0.0,60,,False,4437,3977,89.6326,100000.00,1885471.77,1785471.77,1785.47,-0.58,402.4052,52,4,-2097.40,26855.02,10.5238,402.4052,17453.30
chandelier,20,1.0,1.0,0.0,0.0,60,,False,4424,3986,90.0995,100000.00,1900714.49,1800714.49,1800.71,-0.59,407.0331,61,3,-1564.34,30742.32,11.1526,407.0331,17350.78
chandelier,15,1.0,1.0,0.0,0.0,60,,False,4438,3979,89.6575,100000.00,1893091.49,1793091.49,1793.09,-0.59,404.0314,50,4,-2142.62,25610.30,10.5916,404.0314,17340.22
chandelier,20,1.0,1.0,0.0,0.0,40,,False,4313,3693,85.6249,100000.00,1675747.61,1575747.61,1575.75,-0.60,365.3484,34,3,-1614.70,16442.71,7.2132,365.3484,14508.87
chandelier,15,1.0,1.0,0.0,0.0,40,,False,4336,3698,85.2860,100000.00,1680797.28,1580797.28,1580.80,-0.61,364.5750,39,5,-2614.68,18246.64,7.0531,364.5750,14479.85
chandelier,20,1.0,1.5,0.0,0.0,40,,False,4313,3655,84.7438,100000.00,1671812.60,1571812.60,1571.81,-0.60,364.4360,34,3,-1614.70,16322.48,6.9396,364.4360,14407.74
chandelier,15,1.0,1.5,0.0,0.0,40,,False,4336,3659,84.3865,100000.00,1677269.72,1577269.72,1577.27,-0.63,363.7615,34,5,-2614.68,16332.29,6.8231,363.7615,13922.39
chandelier,20,2.0,1.0,0.0,0.0,80,,False,4486,3730,83.1476,100000.00,1601423.37,1501423.37,1501.42,-0.61,334.6909,31,6,-2557.62,15431.46,5.4829,334.6909,13559.68
chandelier,5,1.0,1.0,0.0,0.0,60,,False,4450,3971,89.2360,100000.00,1868228.69,1768228.69,1768.23,-0.76,397.3548,60,4,-1963.58,31292.84,10.0917,397.3548,13206.15
chandelier,10,1.0,1.0,0.0,0.0,40,,False,4339,3691,85.0657,100000.00,1669413.24,1569413.24,1569.41,-0.69,361.6993,37,5,-2566.28,18115.94,6.9230,361.6993,12700.11
chandelier,10,1.0,1.5,0.0,0.0,40,,False,4339,3654,84.2130,100000.00,1673300.39,1573300.39,1573.30,-0.69,362.5952,37,5,-2566.28,18808.69,6.7600,362.5952,12582.73
chandelier,5,1.0,1.0,0.0,0.0,80,,False,4500,4121,91.5778,100000.00,1986490.40,1886490.40,1886.49,-0.94,419.2201,95,3,-1560.35,49611.32,13.3517,419.2201,11564.93
chandelier,5,1.0,1.0,0.0,0.0,40,,False,4346,3681,84.6986,100000.00,1645545.06,1545545.06,1545.55,-0.76,355.6247,37,5,-2406.16,18329.54,6.7066,355.6247,11325.07
chandelier,10,1.0,2.5,0.0,0.0,80,,False,4495,4092,91.0345,100000.00,2007757.61,1907757.61,1907.76,-1.06,424.4177,83,3,-1607.56,44084.26,13.0490,424.4177,10342.95
chandelier,5,1.0,2.5,0.0,0.0,80,,False,4500,4078,90.6222,100000.00,1990751.96,1890751.96,1890.75,-1.05,420.1671,82,3,-1560.35,43972.38,12.6428,420.1671,10339.68
chandelier,20,1.0,2.0,0.0,0.0,80,,False,4501,4117,91.4686,100000.00,2017915.78,1917915.78,1917.92,-1.07,426.1088,85,2,-1077.68,44648.53,13.5772,426.1088,10320.54
chandelier,5,1.0,2.0,0.0,0.0,80,,False,4500,4084,90.7556,100000.00,1990003.08,1890003.08,1890.00,-1.05,420.0007,82,3,-1560.35,43222.38,12.7290,420.0007,10317.26
chandelier,10,1.0,2.0,0.0,0.0,80,,False,4495,4095,91.1012,100000.00,2004458.47,1904458.47,1904.46,-1.06,423.6838,83,3,-1607.56,43584.26,13.1218,423.6838,10303.16
chandelier,5,1.0,1.5,0.0,0.0,80,,False,4500,4091,90.9111,100000.00,1987907.67,1887907.67,1887.91,-1.05,419.5350,82,3,-1560.35,42472.38,12.8148,419.5350,10288.68
chandelier,10,1.0,2.5,0.0,0.0,60,,False,4437,3931,88.5959,100000.00,1888311.05,1788311.05,1788.31,-1.06,403.0451,50,4,-2097.40,26257.91,9.9584,403.0451,9571.61
chandelier,5,1.0,2.5,0.0,0.0,60,,False,4450,3917,88.0225,100000.00,1873450.01,1773450.01,1773.45,-1.05,398.5281,50,4,-1963.58,26302.44,9.6118,398.5281,9565.94
chandelier,20,1.0,2.0,0.0,0.0,60,,False,4424,3945,89.1727,100000.00,1898914.74,1798914.74,1798.91,-1.07,406.6263,61,3,-1564.34,31587.49,10.5109,406.6263,9564.11
chandelier,5,1.0,2.0,0.0,0.0,60,,False,4450,3924,88.1798,100000.00,1871073.37,1771073.37,1771.07,-1.05,397.9940,50,4,-1963.58,26302.44,9.6637,397.9940,9537.49
chandelier,10,1.0,2.0,0.0,0.0,60,,False,4437,3934,88.6635,100000.00,1883630.41,1783630.41,1783.63,-1.06,401.9902,50,4,-2097.40,26257.91,9.9900,401.9902,9526.38
chandelier,5,1.0,1.5,0.0,0.0,60,,False,4450,3932,88.3596,100000.00,1866610.52,1766610.52,1766.61,-1.05,396.9911,50,4,-1963.58,25757.77,9.7143,396.9911,9498.96
chandelier,15,2.0,1.0,0.0,0.0,80,,False,4500,3734,82.9778,100000.00,1603459.27,1503459.27,1503.46,-0.97,334.1021,30,6,-2523.74,14937.20,5.4413,334.1021,8500.70
chandelier,20,2.0,1.5,0.0,0.0,80,,False,4486,3631,80.9407,100000.00,1597836.11,1497836.11,1497.84,-0.98,333.8912,28,6,-2557.62,14985.87,5.1087,333.8912,8290.83
chandelier,20,2.0,2.0,0.0,0.0,80,,False,4486,3585,79.9153,100000.00,1595765.35,1495765.35,1495.77,-0.98,333.4296,28,6,-2557.62,14985.87,4.9566,333.4296,8252.83
chandelier,5,2.0,1.0,0.0,0.0,80,,False,4523,3727,82.4011,100000.00,1643194.45,1543194.45,1543.19,-1.03,341.1882,36,5,-2472.69,18187.89,5.8013,341.1882,8223.04
chandelier,15,2.0,1.5,0.0,0.0,80,,False,4500,3640,80.8889,100000.00,1605077.15,1505077.15,1505.08,-0.99,334.4616,27,6,-2523.74,13715.77,5.1252,334.4616,8221.54
chandelier,20,2.0,4.0,0.0,0.0,80,,False,4486,3548,79.0905,100000.00,1603908.96,1503908.96,1503.91,-0.98,335.2450,24,6,-2557.62,14985.87,4.8561,335.2450,8221.06
chandelier,20,2.0,3.5,0.0,0.0,80,,False,4486,3554,79.2243,100000.00,1601015.73,1501015.73,1501.02,-0.98,334.6000,28,6,-2557.62,16071.98,4.8668,334.6000,8211.37
chandelier,20,2.0,2.5,0.0,0.0,80,,False,4486,3570,79.5809,100000.00,1597298.35,1497298.35,1497.30,-0.98,333.7714,28,6,-2557.62,15071.98,4.9102,333.7714,8207.34
chandelier,15,2.0,2.0,0.0,0.0,80,,False,4500,3599,79.9778,100000.00,1606190.21,1506190.21,1506.19,-0.99,334.7089,27,6,-2523.74,15189.08,5.0002,334.7089,8206.44
chandelier,20,2.0,4.5,0.0,0.0,80,,False,4486,3543,78.9790,100000.00,1601718.75,1501718.75,1501.72,-0.98,334.7567,24,6,-2557.62,14985.87,4.8283,334.7567,8203.98
chandelier,20,2.0,5.0,0.0,0.0,80,,False,4486,3539,78.8899,100000.00,1601554.92,1501554.92,1501.55,-0.98,334.7202,24,6,-2557.62,14985.87,4.8140,334.7202,8199.00
chandelier,10,1.0,2.5,0.0,0.0,40,,False,4339,3632,83.7059,100000.00,1666783.62,1566783.62,1566.78,-1.06,361.0933,37,5,-2566.28,18808.69,6.5964,361.0933,8168.49
chandelier,20,2.0,3.0,0.0,0.0,80,,False,4486,3556,79.2688,100000.00,1591569.47,1491569.47,1491.57,-0.98,332.4943,28,6,-2557.62,15571.98,4.8504,332.4943,8161.73
