stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,20,1,1.5,0,0,180,,FALSE,FALSE,4621,4376,94.6981,100000,2101034.41,2001034.41,2001.03,-1,433.0306,166,3,-842.33,80108.89,38.2227,433.0306,221,132,15.39,189763.29,500000,500000,11713.12
chandelier,15,1,1.5,0,0,180,,FALSE,FALSE,4618,4372,94.673,100000,2098563.58,1998563.58,1998.56,-1.01,432.7769,143,3,-850.23,68880.49,37.3509,432.7769,221,135,15.4,189285.9,500000,500000,11566.26
chandelier,20,1,1.5,0,0,160,,FALSE,FALSE,4611,4352,94.383,100000,2077069.97,1977069.97,1977.07,-1,428.7725,166,3,-842.33,79419.84,35.6649,428.7725,234,142,16.59,199513.38,500000,500000,11554.11
chandelier,15,1,1.5,0,0,160,,FALSE,FALSE,4608,4349,94.3793,100000,2074746.5,1974746.5,1974.75,-1.01,428.5474,143,3,-850.23,68204.74,34.8996,428.5474,234,145,16.62,199065.6,500000,500000,11444.36
chandelier,10,2,1,0,0,100,,FALSE,FALSE,4545,3838,84.4444,100000,1587895.18,1487895.18,1487.9,-0.72,327.3697,42,5,-1717.35,19605.3,7.7427,327.3697,691,208,27.17,274191.58,500000,500000,11442.52
chandelier,20,1,1,0,0,180,,FALSE,FALSE,4621,4387,94.9362,100000,2099275.55,1999275.55,1999.28,-1.02,432.65,166,2,-542.33,80108.89,39.3859,432.65,327,132,15.39,189763.29,500000,500000,11436.21
chandelier,20,1,1.5,0,0,140,,FALSE,FALSE,4596,4311,93.799,100000,2037106.06,1937106.06,1937.11,-1,421.4765,166,3,-842.33,78599.79,31.8516,421.4765,242,157,18.17,211246.43,500000,500000,11286.55
chandelier,20,1,1,0,0,160,,FALSE,FALSE,4611,4364,94.6432,100000,2075552.92,1975552.92,1975.55,-1.02,428.4435,166,2,-542.33,79419.84,36.8323,428.4435,344,142,16.59,199513.38,500000,500000,11283.53
chandelier,15,1,1.5,0,0,140,,FALSE,FALSE,4593,4309,93.8167,100000,2034483.94,1934483.94,1934.48,-1.01,421.1809,143,3,-850.23,67510.54,31.2207,421.1809,245,160,18.22,210800.49,500000,500000,11178.58
chandelier,5,1,1,0,0,100,,FALSE,FALSE,4537,4180,92.1314,100000,1907249.9,1807249.9,1807.25,-0.94,398.3359,76,3,-626.38,37097.61,22.6365,398.3359,442,216,22.66,242268.46,500000,500000,11097.02
chandelier,20,1,1,0,0,140,,FALSE,FALSE,4596,4325,94.1036,100000,2036044.24,1936044.24,1936.04,-1.02,421.2455,166,2,-542.33,78599.79,32.6758,421.2455,361,157,18.17,211246.43,500000,500000,11027.22
chandelier,20,1,1.5,0,0,120,,FALSE,FALSE,4571,4253,93.0431,100000,1986299.45,1886299.45,1886.3,-1.01,412.6667,101,4,-870.92,42757.14,27.9272,412.6667,259,182,20.04,225309.72,500000,500000,10869.73
chandelier,15,1,1.5,0,0,120,,FALSE,FALSE,4566,4249,93.0574,100000,1983664.52,1883664.52,1883.66,-1.01,412.5415,98,4,-897.37,42527.62,27.4496,412.5415,258,187,20.04,224811.79,500000,500000,10796.31
chandelier,20,1,1,0,0,120,,FALSE,FALSE,4571,4269,93.3931,100000,1986066.33,1886066.33,1886.07,-1.02,412.6157,101,2,-542.33,42757.14,28.7143,412.6157,399,182,20.04,225309.72,500000,500000,10703.24
chandelier,20,1,1,0,0,100,,FALSE,FALSE,4544,4209,92.6276,100000,1924065.21,1824065.21,1824.07,-1,401.4228,84,2,-531.54,40571.01,25.3412,401.4228,442,209,22.91,243755.69,500000,500000,10522.88
chandelier,20,1,1.5,0,0,100,,FALSE,FALSE,4544,4193,92.2755,100000,1925397.43,1825397.43,1825.4,-1,401.716,84,2,-531.54,40906.69,24.7199,401.716,294,209,22.91,243755.69,500000,500000,10507.91
chandelier,15,1,1,0,0,100,,FALSE,FALSE,4537,4205,92.6824,100000,1922884.48,1822884.48,1822.88,-1.01,401.7819,85,2,-530.57,40631.88,24.9851,401.7819,439,216,22.86,243085.77,500000,500000,10460.61
chandelier,15,1,1.5,0,0,100,,FALSE,FALSE,4537,4186,92.2636,100000,1921731.62,1821731.62,1821.73,-1.01,401.5278,85,2,-530.57,40999.41,24.1558,401.5278,288,216,22.86,243085.77,500000,500000,10432.8
chandelier,5,1,1,0,0,80,,FALSE,FALSE,4498,4092,90.9738,100000,1822144.89,1722144.89,1722.14,-0.95,382.869,73,3,-909.34,35674.85,19.1599,382.869,507,255,26.12,265027.72,500000,500000,10398.84
chandelier,10,1,1,0,0,100,,FALSE,FALSE,4533,4200,92.6539,100000,1917053.32,1817053.32,1817.05,-1.01,400.8501,84,2,-560.09,40517.52,24.1474,400.8501,435,220,22.77,242508.34,500000,500000,10393.31
chandelier,10,1,1.5,0,0,100,,FALSE,FALSE,4533,4177,92.1465,100000,1915270.36,1815270.36,1815.27,-1.01,400.4567,84,2,-560.09,40925.56,23.1687,400.4567,296,220,22.77,242508.34,500000,500000,10343.47
chandelier,5,2,1,0,0,100,,FALSE,FALSE,4562,3825,83.8448,100000,1594273.64,1494273.64,1494.27,-0.82,327.5479,38,5,-1966.5,16482.48,7.8404,327.5479,698,191,26.65,272326.11,500000,500000,10090.31
chandelier,20,1,1,0,0,80,,FALSE,FALSE,4499,4118,91.5315,100000,1841927.44,1741927.44,1741.93,-1.01,387.181,84,3,-563.51,38600.24,21.9063,387.181,501,254,26.65,266885.34,500000,500000,9885.81
chandelier,20,1,1.5,0,0,80,,FALSE,FALSE,4499,4098,91.0869,100000,1842229.05,1742229.05,1742.23,-1.01,387.2481,84,3,-563.51,38935.93,21.3022,387.2481,327,254,26.65,266885.34,500000,500000,9852.82
chandelier,15,1,1,0,0,80,,FALSE,FALSE,4497,4117,91.5499,100000,1841070.36,1741070.36,1741.07,-1.02,387.1626,84,3,-611.24,38682.44,21.5767,387.1626,499,256,26.53,266314.34,500000,500000,9825.87
chandelier,15,1,1.5,0,0,80,,FALSE,FALSE,4497,4094,91.0385,100000,1839149.56,1739149.56,1739.15,-1.02,386.7355,84,3,-611.24,39049.97,20.8181,386.7355,327,256,26.53,266314.34,500000,500000,9789.8
chandelier,10,1,1,0,0,80,,FALSE,FALSE,4496,4110,91.4146,100000,1833071.59,1733071.59,1733.07,-1.02,385.4697,83,3,-716.96,38667.48,20.6004,385.4697,496,257,26.47,265709.18,500000,500000,9742.55
chandelier,10,1,1.5,0,0,80,,FALSE,FALSE,4496,4083,90.8141,100000,1830986.32,1730986.32,1730.99,-1.02,385.0059,83,3,-716.96,39075.51,19.8043,385.0059,334,257,26.47,265709.18,500000,500000,9688.21
chandelier,15,1,1,0,0,180,,FALSE,FALSE,4618,4387,94.9978,100000,2099606.94,1999606.94,1999.61,-1.22,433.0028,143,3,-850.23,68880.49,39.0765,433.0028,324,135,15.4,189285.9,500000,500000,9570.08
chandelier,15,1,1,0,0,160,,FALSE,FALSE,4608,4364,94.7049,100000,2075246.15,1975246.15,1975.25,-1.22,428.6558,143,3,-850.23,68204.74,36.2807,428.6558,342,145,16.62,199065.6,500000,500000,9439.28
chandelier,20,2,1,0,0,100,,FALSE,FALSE,4516,3834,84.8981,100000,1582163.5,1482163.5,1482.16,-0.88,328.2027,46,5,-1454.21,20471.13,7.8675,328.2027,694,237,27.15,274875.62,500000,500000,9392.32
chandelier,10,1,2,0,0,100,,FALSE,FALSE,4533,4168,91.9479,100000,1913947.18,1813947.18,1813.95,-1.13,400.1648,84,2,-597.24,41334.6,22.9098,400.1648,197,220,22.77,242508.34,500000,500000,9229.95
chandelier,15,1,1,0,0,140,,FALSE,FALSE,4593,4326,94.1868,100000,2035742.78,1935742.78,1935.74,-1.22,421.455,143,3,-850.23,67510.54,32.3322,421.455,362,160,18.22,210800.49,500000,500000,9225.89
