stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,5,4.0,2.5,0.0,0.0,100,,False,False,4573,2962,64.7715,100000.00,1097840.94,997840.94,997.84,-2.73,218.2027,17,10,-3489.93,10559.68,3.2571,218.2027,329,180.00,23.27,278656.43,500000.00,500000.00,1582.69
chandelier,5,4.0,1.5,0.0,0.0,100,,False,False,4573,3051,66.7177,100000.00,1095784.86,995784.86,995.78,-2.71,217.7531,18,10,-3489.93,8815.40,3.3624,217.7531,624,180.00,23.27,278656.43,500000.00,500000.00,1639.69
chandelier,15,4.0,3.0,0.0,0.0,100,,False,False,4571,2986,65.3249,100000.00,1094417.30,994417.30,994.42,-2.83,217.5492,16,13,-3691.77,7703.98,3.1954,217.5492,277,182.00,22.95,278915.06,500000.00,500000.00,1510.86
chandelier,5,4.0,1.0,0.0,0.0,100,,False,False,4573,3168,69.2762,100000.00,1093560.36,993560.36,993.56,-1.95,217.2666,18,9,-2822.80,7946.70,3.5097,217.2666,938,180.00,23.27,278656.43,500000.00,500000.00,2377.91
chandelier,10,4.0,2.5,0.0,0.0,100,,False,False,4573,2988,65.3400,100000.00,1092058.01,992058.01,992.06,-2.69,216.9381,19,10,-3475.78,10658.75,3.2033,216.9381,349,180.00,22.90,278138.27,500000.00,500000.00,1587.73
chandelier,10,2.0,2.5,0.0,0.0,20,,False,False,4380,1880,42.9224,100000.00,199915.32,99915.32,99.92,-10.00,22.8117,11,14,-4180.45,5612.41,1.1316,22.8117,653,373.00,54.32,415338.46,500000.00,500000.00,22.35
chandelier,15,2.0,1.0,0.0,0.0,20,,False,False,4383,2276,51.9279,100000.00,199889.66,99889.66,99.89,-8.13,22.7902,13,13,-4372.81,5362.05,1.1430,22.7902,1721,370.00,53.43,415640.76,500000.00,500000.00,29.34
chandelier,15,4.0,2.5,0.0,0.0,100,,False,False,4571,2997,65.5655,100000.00,1085456.29,985456.29,985.46,-2.80,215.5888,16,13,-3691.77,8265.74,3.1875,215.5888,359,182.00,22.95,278915.06,500000.00,500000.00,1513.39
chandelier,15,4.0,1.0,0.0,0.0,100,,False,False,4571,3210,70.2253,100000.00,1084073.85,984073.85,984.07,-2.09,215.2863,16,10,-3277.02,6969.64,3.4694,215.2863,1041,182.00,22.95,278915.06,500000.00,500000.00,2187.26
chandelier,10,4.0,2.0,0.0,0.0,100,,False,False,4573,3017,65.9742,100000.00,1083518.76,983518.76,983.52,-2.05,215.0708,19,10,-3362.47,9734.53,3.2154,215.0708,467,180.00,22.90,278138.27,500000.00,500000.00,2081.41
