stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,20,1.0,1.5,0.0,0.0,40,,False,False,4318,3620,83.8351,100000.00,1445775.22,1345775.22,1345.78,-1.09,311.6663,34,3,-1323.08,14470.44,9.8392,311.6663,506,435.00,43.17,350422.43,500000.00,500000.00,6778.74
chandelier,15,1.0,1.5,0.0,0.0,40,,False,False,4340,3634,83.7327,100000.00,1447520.08,1347520.08,1347.52,-1.10,310.4885,34,5,-1313.42,14486.52,9.7516,310.4885,518,413.00,42.93,350397.75,500000.00,500000.00,6763.91
chandelier,10,1.0,1.0,0.0,0.0,40,,False,False,4338,3653,84.2093,100000.00,1444920.95,1344920.95,1344.92,-1.10,310.0325,35,5,-1380.50,14728.62,9.7024,310.0325,759,415.00,42.46,349033.08,500000.00,500000.00,6779.92
chandelier,5,2.0,1.5,0.0,0.0,140,,False,False,4598,3943,85.7547,100000.00,1755657.38,1655657.38,1655.66,-3.94,360.0821,44,7,-2381.97,23119.39,9.6604,360.0821,380,155.00,21.38,238222.98,500000.00,500000.00,2339.27
chandelier,20,1.0,2.0,0.0,0.0,40,,False,False,4318,3602,83.4182,100000.00,1442317.96,1342317.96,1342.32,-1.10,310.8657,34,3,-1323.08,14566.55,9.6498,310.8657,361,435.00,43.17,350422.43,500000.00,500000.00,6712.69
chandelier,20,2.0,1.5,0.0,0.0,140,,False,False,4563,3942,86.3905,100000.00,1744756.96,1644756.96,1644.76,-3.48,360.4552,46,7,-2433.14,24217.24,9.5936,360.4552,382,190.00,21.70,239759.99,500000.00,500000.00,2645.82
chandelier,20,1.0,2.5,0.0,0.0,40,,False,False,4318,3589,83.1172,100000.00,1438170.38,1338170.38,1338.17,-1.40,309.9051,34,3,-1323.08,14662.67,9.5345,309.9051,242,435.00,43.17,350422.43,500000.00,500000.00,5259.22
chandelier,20,1.0,3.0,0.0,0.0,40,,False,False,4318,3587,83.0709,100000.00,1438748.36,1338748.36,1338.75,-1.40,310.0390,34,3,-1323.08,14758.78,9.5228,310.0390,180,435.00,43.17,350422.43,500000.00,500000.00,5260.16
chandelier,15,1.0,2.0,0.0,0.0,40,,False,False,4340,3610,83.1797,100000.00,1440692.28,1340692.28,1340.69,-1.42,308.9153,34,5,-1313.42,14572.88,9.5117,308.9153,362,413.00,42.93,350397.75,500000.00,500000.00,5176.80
chandelier,15,2.0,1.5,0.0,0.0,140,,False,False,4567,3937,86.2054,100000.00,1744677.02,1644677.02,1644.68,-3.46,360.1220,46,7,-2425.53,24206.58,9.4766,360.1220,379,186.00,21.72,239409.95,500000.00,500000.00,2655.13
chandelier,15,1.0,2.5,0.0,0.0,40,,False,False,4340,3602,82.9954,100000.00,1441158.30,1341158.30,1341.16,-1.42,309.0227,34,5,-1313.42,14659.25,9.4665,309.0227,257,413.00,42.93,350397.75,500000.00,500000.00,5173.39
chandelier,15,1.0,3.0,0.0,0.0,40,,False,False,4340,3598,82.9032,100000.00,1441794.08,1341794.08,1341.79,-1.42,309.1691,34,5,-1313.42,14745.62,9.4505,309.1691,193,413.00,42.93,350397.75,500000.00,500000.00,5173.23
chandelier,10,2.0,1.5,0.0,0.0,140,,False,False,4575,3933,85.9672,100000.00,1748221.92,1648221.92,1648.22,-3.49,360.2671,45,7,-2418.72,24074.35,9.4120,360.2671,378,178.00,21.57,238801.76,500000.00,500000.00,2638.48
chandelier,10,1.0,1.5,0.0,0.0,40,,False,False,4338,3616,83.3564,100000.00,1441884.27,1341884.27,1341.88,-1.10,309.3325,34,5,-1380.50,14485.71,9.3876,309.3325,506,415.00,42.46,349033.08,500000.00,500000.00,6706.90
chandelier,5,2.0,2.0,0.0,0.0,140,,False,False,4598,3906,84.9500,100000.00,1748975.61,1648975.61,1648.98,-3.94,358.6289,44,7,-2381.97,23361.95,9.2995,358.6289,266,155.00,21.38,238222.98,500000.00,500000.00,2319.74
chandelier,10,1.0,2.0,0.0,0.0,40,,False,False,4338,3601,83.0106,100000.00,1439929.70,1339929.70,1339.93,-1.13,308.8819,34,5,-1380.50,14563.78,9.2957,308.8819,335,415.00,42.46,349033.08,500000.00,500000.00,6500.54
chandelier,20,2.0,2.0,0.0,0.0,140,,False,False,4563,3907,85.6235,100000.00,1735370.62,1635370.62,1635.37,-3.41,358.3981,46,7,-2433.14,24412.32,9.2516,358.3981,273,190.00,21.70,239759.99,500000.00,500000.00,2672.52
chandelier,15,2.0,2.0,0.0,0.0,140,,False,False,4567,3909,85.5923,100000.00,1738630.33,1638630.33,1638.63,-3.39,358.7980,46,7,-2425.53,24410.14,9.2287,358.7980,274,186.00,21.72,239409.95,500000.00,500000.00,2689.28
chandelier,10,1.0,2.5,0.0,0.0,40,,False,False,4338,3593,82.8262,100000.00,1438682.79,1338682.79,1338.68,-1.39,308.5945,34,5,-1380.50,14641.85,9.2285,308.5945,256,415.00,42.46,349033.08,500000.00,500000.00,5276.23
chandelier,10,2.0,2.0,0.0,0.0,140,,False,False,4575,3905,85.3552,100000.00,1746468.54,1646468.54,1646.47,-3.80,359.8838,45,7,-2418.72,24289.47,9.2034,359.8838,270,178.00,21.57,238801.76,500000.00,500000.00,2411.89
chandelier,10,1.0,3.0,0.0,0.0,40,,False,False,4338,3586,82.6648,100000.00,1436703.41,1336703.41,1336.70,-1.39,308.1382,34,5,-1380.50,14719.91,9.1811,308.1382,198,415.00,42.46,349033.08,500000.00,500000.00,5263.78
chandelier,20,2.0,2.5,0.0,0.0,140,,False,False,4563,3896,85.3824,100000.00,1733116.83,1633116.83,1633.12,-3.70,357.9042,46,7,-2433.14,24607.91,9.1626,357.9042,206,190.00,21.70,239759.99,500000.00,500000.00,2451.88
chandelier,5,2.0,3.0,0.0,0.0,140,,False,False,4598,3885,84.4933,100000.00,1745711.70,1645711.70,1645.71,-3.94,357.9190,42,7,-2381.97,18460.23,9.1502,357.9190,142,155.00,21.38,238222.98,500000.00,500000.00,2309.43
chandelier,5,2.0,2.5,0.0,0.0,140,,False,False,4598,3890,84.6020,100000.00,1741731.26,1641731.26,1641.73,-3.94,357.0533,42,7,-2381.97,18210.23,9.1433,357.0533,184,155.00,21.38,238222.98,500000.00,500000.00,2305.20
chandelier,20,2.0,1.0,0.0,0.0,120,,False,False,4541,3934,86.6329,100000.00,1676478.95,1576478.95,1576.48,-2.67,347.1656,47,7,-2433.14,21965.25,9.1336,347.1656,624,212.00,24.20,255463.09,500000.00,500000.00,3300.79
chandelier,20,2.0,3.0,0.0,0.0,140,,False,False,4563,3889,85.2290,100000.00,1732834.00,1632834.00,1632.83,-3.70,357.8422,46,7,-2433.14,23691.69,9.1126,357.8422,153,190.00,21.70,239759.99,500000.00,500000.00,2449.42
chandelier,5,2.0,1.0,0.0,0.0,120,,False,False,4574,3921,85.7237,100000.00,1684114.84,1584114.84,1584.11,-2.03,346.3303,43,5,-1935.20,17444.93,9.1028,346.3303,620,179.00,23.66,253287.97,500000.00,500000.00,4354.31
chandelier,15,2.0,2.5,0.0,0.0,140,,False,False,4567,3896,85.3076,100000.00,1734274.61,1634274.61,1634.27,-3.72,357.8442,46,7,-2425.53,24614.36,9.0876,357.8442,201,186.00,21.72,239409.95,500000.00,500000.00,2444.38
chandelier,5,1.0,1.0,0.0,0.0,40,,False,False,4350,3634,83.5402,100000.00,1436117.29,1336117.29,1336.12,-1.02,307.1534,37,5,-1410.37,15229.99,9.0408,307.1534,751,403.00,41.68,347052.89,500000.00,500000.00,7205.88
chandelier,10,2.0,2.5,0.0,0.0,140,,False,False,4575,3890,85.0273,100000.00,1740432.83,1640432.83,1640.43,-3.80,358.5646,45,7,-2418.72,24505.53,9.0392,358.5646,196,178.00,21.57,238801.76,500000.00,500000.00,2398.79
chandelier,10,2.0,3.0,0.0,0.0,140,,False,False,4575,3881,84.8306,100000.00,1742243.56,1642243.56,1642.24,-3.80,358.9603,45,7,-2418.72,21770.05,9.0044,358.9603,158,178.00,21.57,238801.76,500000.00,500000.00,2398.89
chandelier,15,2.0,3.0,0.0,0.0,140,,False,False,4567,3885,85.0668,100000.00,1729100.27,1629100.27,1629.10,-3.72,356.7112,46,7,-2425.53,21936.32,8.9855,356.7112,157,186.00,21.72,239409.95,500000.00,500000.00,2433.48
chandelier,10,2.0,1.0,0.0,0.0,120,,False,False,4557,3930,86.2409,100000.00,1679508.90,1579508.90,1579.51,-2.14,346.6116,44,5,-1967.74,21040.65,8.9710,346.6116,616,196.00,24.01,254598.79,500000.00,500000.00,4130.38
chandelier,15,2.0,1.0,0.0,0.0,120,,False,False,4544,3924,86.3556,100000.00,1673443.90,1573443.90,1573.44,-2.23,346.2685,47,5,-1969.96,22035.39,8.9497,346.2685,623,209.00,24.19,254988.43,500000.00,500000.00,3936.45
chandelier,5,1.0,1.5,0.0,0.0,40,,False,False,4350,3585,82.4138,100000.00,1429814.12,1329814.12,1329.81,-1.20,305.7044,37,5,-1410.37,15478.00,8.6906,305.7044,478,403.00,41.68,347052.89,500000.00,500000.00,6083.71
chandelier,5,2.0,1.5,0.0,0.0,120,,False,False,4574,3858,84.3463,100000.00,1686806.65,1586806.65,1586.81,-2.91,346.9188,43,7,-2381.97,17775.51,8.6460,346.9188,425,179.00,23.66,253287.97,500000.00,500000.00,3013.27
chandelier,5,1.0,2.0,0.0,0.0,40,,False,False,4350,3570,82.0690,100000.00,1429245.87,1329245.87,1329.25,-1.20,305.5738,37,5,-1410.37,15478.00,8.6112,305.5738,342,403.00,41.68,347052.89,500000.00,500000.00,6074.47
chandelier,5,1.0,2.5,0.0,0.0,40,,False,False,4350,3563,81.9080,100000.00,1431225.86,1331225.86,1331.23,-1.19,306.0289,37,5,-1410.37,15478.00,8.5964,306.0289,253,403.00,41.68,347052.89,500000.00,500000.00,6083.04
chandelier,20,2.0,1.5,0.0,0.0,120,,False,False,4541,3860,85.0033,100000.00,1672145.74,1572145.74,1572.15,-2.75,346.2114,45,7,-2433.14,21773.65,8.5389,346.2114,422,212.00,24.20,255463.09,500000.00,500000.00,3175.51
chandelier,5,1.0,3.0,0.0,0.0,40,,False,False,4350,3556,81.7471,100000.00,1427817.71,1327817.71,1327.82,-1.43,305.2455,37,5,-1410.37,15478.00,8.5339,305.2455,183,403.00,41.68,347052.89,500000.00,500000.00,5076.50
chandelier,15,2.0,1.5,0.0,0.0,120,,False,False,4544,3852,84.7711,100000.00,1672076.84,1572076.84,1572.08,-2.72,345.9676,45,7,-2425.53,21830.78,8.4101,345.9676,425,209.00,24.19,254988.43,500000.00,500000.00,3206.16
chandelier,5,2.0,2.0,0.0,0.0,120,,False,False,4574,3821,83.5374,100000.00,1684371.16,1584371.16,1584.37,-2.91,346.3863,42,7,-2381.97,17679.75,8.3795,346.3863,313,179.00,23.66,253287.97,500000.00,500000.00,2995.44
chandelier,10,2.0,1.5,0.0,0.0,120,,False,False,4557,3853,84.5512,100000.00,1678300.56,1578300.56,1578.30,-2.68,346.3464,44,7,-2418.72,21711.78,8.3786,346.3464,427,196.00,24.01,254598.79,500000.00,500000.00,3259.83
chandelier,20,2.0,2.0,0.0,0.0,120,,False,False,4541,3827,84.2766,100000.00,1666771.05,1566771.05,1566.77,-2.68,345.0278,45,7,-2433.14,22008.96,8.2985,345.0278,306,212.00,24.20,255463.09,500000.00,500000.00,3231.10
chandelier,10,2.0,2.0,0.0,0.0,120,,False,False,4557,3827,83.9807,100000.00,1680560.77,1580560.77,1580.56,-2.99,346.8424,44,7,-2418.72,21962.25,8.2443,346.8424,317,196.00,24.01,254598.79,500000.00,500000.00,2916.24
chandelier,15,2.0,2.0,0.0,0.0,120,,False,False,4544,3826,84.1989,100000.00,1669366.45,1569366.45,1569.37,-2.65,345.3711,45,7,-2425.53,22068.61,8.2407,345.3711,310,209.00,24.19,254988.43,500000.00,500000.00,3270.53
chandelier,20,2.0,2.5,0.0,0.0,120,,False,False,4541,3815,84.0123,100000.00,1665726.67,1565726.67,1565.73,-2.98,344.7978,45,7,-2433.14,22244.99,8.2246,344.7978,227,212.00,24.20,255463.09,500000.00,500000.00,2904.33
chandelier,5,2.0,2.5,0.0,0.0,120,,False,False,4574,3803,83.1439,100000.00,1674782.83,1574782.83,1574.78,-2.91,344.2901,42,7,-2381.97,17898.02,8.2234,344.2901,215,179.00,23.66,253287.97,500000.00,500000.00,2970.93
chandelier,5,2.0,3.0,0.0,0.0,120,,False,False,4574,3794,82.9471,100000.00,1676332.51,1576332.51,1576.33,-2.91,344.6289,42,7,-2381.97,18116.28,8.1933,344.6289,163,179.00,23.66,253287.97,500000.00,500000.00,2970.66
chandelier,20,2.0,3.0,0.0,0.0,120,,False,False,4541,3807,83.8362,100000.00,1665900.11,1565900.11,1565.90,-2.98,344.8360,45,7,-2433.14,21863.26,8.1797,344.8360,172,212.00,24.20,255463.09,500000.00,500000.00,2901.87
chandelier,10,2.0,2.5,0.0,0.0,120,,False,False,4557,3812,83.6515,100000.00,1676552.70,1576552.70,1576.55,-2.99,345.9628,44,7,-2418.72,22213.15,8.1289,345.9628,232,196.00,24.01,254598.79,500000.00,500000.00,2903.64
chandelier,15,2.0,2.5,0.0,0.0,120,,False,False,4544,3811,83.8688,100000.00,1665566.39,1565566.39,1565.57,-2.97,344.5349,45,7,-2425.53,22307.47,8.1163,344.5349,224,209.00,24.19,254988.43,500000.00,500000.00,2903.26
chandelier,10,2.0,3.0,0.0,0.0,120,,False,False,4557,3802,83.4321,100000.00,1678595.67,1578595.67,1578.60,-2.99,346.4112,44,7,-2418.72,21749.74,8.0994,346.4112,183,196.00,24.01,254598.79,500000.00,500000.00,2903.93
chandelier,15,2.0,3.0,0.0,0.0,120,,False,False,4544,3799,83.6048,100000.00,1661326.28,1561326.28,1561.33,-2.97,343.6017,45,7,-2425.53,21913.84,8.0434,343.6017,177,209.00,24.19,254988.43,500000.00,500000.00,2891.23
chandelier,20,2.0,1.0,0.0,0.0,100,,False,False,4516,3834,84.8981,100000.00,1582163.50,1482163.50,1482.16,-0.88,328.2027,46,5,-1454.21,20471.13,7.8675,328.2027,694,237.00,27.15,274875.62,500000.00,500000.00,9392.32
chandelier,5,2.0,1.0,0.0,0.0,100,,False,False,4562,3825,83.8448,100000.00,1594273.64,1494273.64,1494.27,-0.82,327.5479,38,5,-1966.50,16482.48,7.8404,327.5479,698,191.00,26.65,272326.11,500000.00,500000.00,10090.31
chandelier,10,2.0,1.0,0.0,0.0,100,,False,False,4545,3838,84.4444,100000.00,1587895.18,1487895.18,1487.90,-0.72,327.3697,42,5,-1717.35,19605.30,7.7427,327.3697,691,208.00,27.17,274191.58,500000.00,500000.00,11442.52
chandelier,15,2.0,1.0,0.0,0.0,100,,False,False,4530,3834,84.6358,100000.00,1581619.32,1481619.32,1481.62,-0.92,327.0683,46,5,-1584.84,20573.45,7.7352,327.0683,708,223.00,27.35,274787.38,500000.00,500000.00,8904.92
chandelier,5,3.0,1.0,0.0,0.0,180,,False,False,4586,3799,82.8391,100000.00,1639576.38,1539576.38,1539.58,-3.42,335.7123,42,7,-1688.91,19445.85,7.5844,335.7123,599,167.00,17.27,223568.20,500000.00,500000.00,2469.21
chandelier,10,3.0,1.0,0.0,0.0,180,,False,False,4596,3839,83.5292,100000.00,1634344.34,1534344.34,1534.34,-3.39,333.8434,48,7,-1941.48,23035.54,7.4344,333.8434,634,157.00,17.47,224882.22,500000.00,500000.00,2490.27
chandelier,15,3.0,1.0,0.0,0.0,180,,False,False,4598,3834,83.3841,100000.00,1628090.38,1528090.38,1528.09,-3.34,332.3381,49,7,-1945.07,23716.20,7.3831,332.3381,626,155.00,17.46,225545.84,500000.00,500000.00,2519.00
chandelier,5,2.0,1.5,0.0,0.0,100,,False,False,4562,3748,82.1569,100000.00,1593349.18,1493349.18,1493.35,-1.23,327.3453,38,5,-1966.50,17355.53,7.3810,327.3453,469,191.00,26.65,272326.11,500000.00,500000.00,6612.63
chandelier,20,2.0,1.5,0.0,0.0,100,,False,False,4516,3751,83.0602,100000.00,1578057.19,1478057.19,1478.06,-0.94,327.2934,44,5,-1454.21,20338.63,7.3554,327.2934,471,237.00,27.15,274875.62,500000.00,500000.00,8624.40
chandelier,20,3.0,1.0,0.0,0.0,180,,False,False,4615,3849,83.4020,100000.00,1624084.18,1524084.18,1524.08,-3.37,330.2458,48,7,-1936.37,24145.90,7.2866,330.2458,642,138.00,17.59,227309.00,500000.00,500000.00,2489.26
chandelier,15,2.0,1.5,0.0,0.0,100,,False,False,4530,3749,82.7594,100000.00,1578703.66,1478703.66,1478.70,-0.93,326.4246,44,5,-1584.84,20444.24,7.2377,326.4246,480,223.00,27.35,274787.38,500000.00,500000.00,8671.82
chandelier,10,2.0,1.5,0.0,0.0,100,,False,False,4545,3750,82.5083,100000.00,1586400.40,1486400.40,1486.40,-0.93,327.0408,42,5,-1789.42,20374.25,7.1972,327.0408,480,208.00,27.17,274191.58,500000.00,500000.00,8710.70
chandelier,5,3.0,1.5,0.0,0.0,180,,False,False,4586,3732,81.3781,100000.00,1647125.47,1547125.47,1547.13,-3.42,337.3584,34,7,-1688.91,15665.75,7.1607,337.3584,417,167.00,17.27,223568.20,500000.00,500000.00,2461.49
chandelier,20,2.0,2.0,0.0,0.0,100,,False,False,4516,3713,82.2188,100000.00,1573028.20,1473028.20,1473.03,-0.93,326.1798,44,5,-1454.21,20632.75,7.1438,326.1798,347,237.00,27.15,274875.62,500000.00,500000.00,8695.00
chandelier,5,2.0,2.0,0.0,0.0,100,,False,False,4562,3704,81.1925,100000.00,1582619.20,1482619.20,1482.62,-1.23,324.9932,33,6,-2093.48,16171.85,7.1013,324.9932,334,191.00,26.65,272326.11,500000.00,500000.00,6530.36
chandelier,15,2.0,2.0,0.0,0.0,100,,False,False,4530,3717,82.0530,100000.00,1573288.85,1473288.85,1473.29,-0.92,325.2293,44,5,-1584.84,20757.24,7.0572,325.2293,352,223.00,27.35,274787.38,500000.00,500000.00,8730.98
chandelier,10,2.0,2.0,0.0,0.0,100,,False,False,4545,3717,81.7822,100000.00,1582305.65,1482305.65,1482.31,-1.25,326.1399,42,5,-1789.42,20723.66,7.0568,326.1399,348,208.00,27.17,274191.58,500000.00,500000.00,6492.22
chandelier,5,3.0,2.0,0.0,0.0,180,,False,False,4586,3702,80.7239,100000.00,1653252.60,1553252.60,1553.25,-3.42,338.6944,34,7,-1688.91,15665.75,7.0361,338.6944,306,167.00,17.27,223568.20,500000.00,500000.00,2462.33
chandelier,20,2.0,2.5,0.0,0.0,100,,False,False,4516,3697,81.8645,100000.00,1564750.67,1464750.67,1464.75,-1.17,324.3469,44,5,-1454.21,20927.60,7.0307,324.3469,254,237.00,27.15,274875.62,500000.00,500000.00,6833.57
chandelier,10,3.0,1.5,0.0,0.0,180,,False,False,4596,3759,81.7885,100000.00,1641796.04,1541796.04,1541.80,-3.60,335.4648,48,7,-1941.48,23590.93,7.0008,335.4648,446,157.00,17.47,224882.22,500000.00,500000.00,2335.90
chandelier,15,3.0,1.5,0.0,0.0,180,,False,False,4598,3766,81.9052,100000.00,1640459.43,1540459.43,1540.46,-3.51,335.0281,49,7,-1945.07,24337.62,6.9967,335.0281,448,155.00,17.46,225545.84,500000.00,500000.00,2393.08
chandelier,5,2.0,3.0,0.0,0.0,100,,False,False,4562,3678,80.6225,100000.00,1580096.70,1480096.70,1480.10,-1.23,324.4403,32,6,-2093.48,14701.94,6.9889,324.4403,181,191.00,26.65,272326.11,500000.00,500000.00,6498.74
chandelier,5,2.0,2.5,0.0,0.0,100,,False,False,4562,3685,80.7760,100000.00,1574843.00,1474843.00,1474.84,-1.23,323.2887,32,6,-2093.48,15190.28,6.9875,323.2887,233,191.00,26.65,272326.11,500000.00,500000.00,6481.18
